# 10 seconds đầu
relative_time_s,packet_id,device_timestamp_us,emg
0.000000,0,12,931
0.000404,1,416,931
0.000736,2,748,932
0.001068,3,1080,931
0.001400,4,1412,932
0.001724,5,1736,931
0.002060,6,2072,931
0.002392,7,2404,931
0.002780,8,2792,931
0.003456,9,3468,931
0.004128,10,4140,932
0.004804,11,4816,931
0.005480,12,5492,932
0.006156,13,6168,932
0.006828,14,6840,932
0.007504,15,7516,931
0.008184,16,8196,931
0.008856,17,8868,932
0.009528,18,9540,931
0.010204,19,10216,932
0.010880,20,10892,932
0.011556,21,11568,931
0.012228,22,12240,931
0.012904,23,12916,931
0.013580,24,13592,932
0.014256,25,14268,931
0.014928,26,14940,932
0.015604,27,15616,932
0.016280,28,16292,931
0.016956,29,16968,931
0.017628,30,17640,932
0.018304,31,18316,931
0.018980,32,18992,932
0.019656,33,19668,932
0.020328,34,20340,931
0.021004,35,21016,932
0.021680,36,21692,932
0.022356,37,22368,931
0.023028,38,23040,932
0.023704,39,23716,932
0.024380,40,24392,932
0.025056,41,25068,932
0.025728,42,25740,932
0.026404,43,26416,932
0.027080,44,27092,932
0.027756,45,27768,931
0.028428,46,28440,932
0.029104,47,29116,931
0.029780,48,29792,932
0.030456,49,30468,932
0.031128,50,31140,932
0.031804,51,31816,932
0.032480,52,32492,932
0.033156,53,33168,932
0.033828,54,33840,931
0.034504,55,34516,932
0.035180,56,35192,932
0.035856,57,35868,931
0.036528,58,36540,932
0.037204,59,37216,932
0.037884,60,37896,931
0.038556,61,38568,931
0.039228,62,39240,932
0.039904,63,39916,931
0.040580,64,40592,931
0.041256,65,41268,932
0.041928,66,41940,931
0.042604,67,42616,931
0.043280,68,43292,932
0.043956,69,43968,931
0.044628,70,44640,931
0.045304,71,45316,931
0.045980,72,45992,932
0.046656,73,46668,932
0.047328,74,47340,931
0.048004,75,48016,931
0.048680,76,48692,931
0.049356,77,49368,932
0.050028,78,50040,931
0.050704,79,50716,931
0.051380,80,51392,932
0.052056,81,52068,932
0.052728,82,52740,932
0.053404,83,53416,932
0.054080,84,54092,931
0.054756,85,54768,932
0.055428,86,55440,932
0.056104,87,56116,932
0.056780,88,56792,931
0.057456,89,57468,932
0.058128,90,58140,931
0.058804,91,58816,932
0.059480,92,59492,932
0.060156,93,60168,932
0.060828,94,60840,932
0.061504,95,61516,932
0.062180,96,62192,931
0.062856,97,62868,931
0.063528,98,63540,932
0.064204,99,64216,932
0.064880,100,64892,932
0.065556,101,65568,932
0.066228,102,66240,931
0.066904,103,66916,931
0.067584,104,67596,932
0.068256,105,68268,931
0.068928,106,68940,931
0.069604,107,69616,931
0.070280,108,70292,932
0.070956,109,70968,932
0.071628,110,71640,932
0.072304,111,72316,931
0.072980,112,72992,932
0.073656,113,73668,932
0.074328,114,74340,932
0.075004,115,75016,932
0.075680,116,75692,932
0.076356,117,76368,932
0.077028,118,77040,932
0.077704,119,77716,932
0.078380,120,78392,931
0.079056,121,79068,932
0.079728,122,79740,931
0.080404,123,80416,931
0.081080,124,81092,932
0.081756,125,81768,931
0.082428,126,82440,932
0.083104,127,83116,932
0.083780,128,83792,932
0.084456,129,84468,932
0.085128,130,85140,931
0.085804,131,85816,932
0.086480,132,86492,931
0.087156,133,87168,932
0.087828,134,87840,931
0.088504,135,88516,931
0.089180,136,89192,932
0.089856,137,89868,932
0.090528,138,90540,932
0.091204,139,91216,931
0.091880,140,91892,931
0.092556,141,92568,932
0.093228,142,93240,931
0.093904,143,93916,931
0.094580,144,94592,932
0.095256,145,95268,932
0.095928,146,95940,932
0.096604,147,96616,931
0.097284,148,97296,932
0.097956,149,97968,932
0.098628,150,98640,932
0.099304,151,99316,931
0.099980,152,99992,931
0.100656,153,100668,931
0.101328,154,101340,932
0.102004,155,102016,932
0.102680,156,102692,931
0.103356,157,103368,931
0.104028,158,104040,932
0.104704,159,104716,932
0.105380,160,105392,931
0.106056,161,106068,932
0.106728,162,106740,932
0.107404,163,107416,932
0.108080,164,108092,932
0.108756,165,108768,931
0.109428,166,109440,931
0.110104,167,110116,932
0.110780,168,110792,932
0.111456,169,111468,932
0.112128,170,112140,931
0.112804,171,112816,931
0.113480,172,113492,931
0.114156,173,114168,932
0.114828,174,114840,931
0.115504,175,115516,931
0.116180,176,116192,932
0.116856,177,116868,932
0.117528,178,117540,932
0.118204,179,118216,932
0.118880,180,118892,932
0.119556,181,119568,931
0.120228,182,120240,932
0.120904,183,120916,932
0.121580,184,121592,931
0.122256,185,122268,931
0.122928,186,122940,932
0.123604,187,123616,932
0.124280,188,124292,931
0.124956,189,124968,932
0.125628,190,125640,932
0.126304,191,126316,932
0.126984,192,126996,932
0.127656,193,127668,932
0.128328,194,128340,931
0.129004,195,129016,932
0.129680,196,129692,931
0.130356,197,130368,931
0.131028,198,131040,932
0.131704,199,131716,931
0.132380,200,132392,931
0.133056,201,133068,932
0.133728,202,133740,931
0.134404,203,134416,931
0.135080,204,135092,932
0.135756,205,135768,932
0.136428,206,136440,931
0.137104,207,137116,931
0.137780,208,137792,932
0.138456,209,138468,932
0.139128,210,139140,931
0.139804,211,139816,931
0.140480,212,140492,932
0.141156,213,141168,932
0.141828,214,141840,932
0.142504,215,142516,932
0.143180,216,143192,931
0.143856,217,143868,932
0.144528,218,144540,931
0.145204,219,145216,932
0.145880,220,145892,932
0.146556,221,146568,932
0.147228,222,147240,931
0.147904,223,147916,931
0.148580,224,148592,932
0.149256,225,149268,932
0.149928,226,149940,932
0.150604,227,150616,932
0.151280,228,151292,932
0.151956,229,151968,931
0.152628,230,152640,931
0.153304,231,153316,932
0.153980,232,153992,931
0.154656,233,154668,932
0.155328,234,155340,932
0.156004,235,156016,932
0.156680,236,156692,932
0.157356,237,157368,932
0.158028,238,158040,931
0.158704,239,158716,931
0.159380,240,159392,931
0.160056,241,160068,932
0.160728,242,160740,931
0.161404,243,161416,932
0.162080,244,162092,932
0.162756,245,162768,932
0.163428,246,163440,932
0.164104,247,164116,932
0.164780,248,164792,931
0.165456,249,165468,931
0.166128,250,166140,931
0.166804,251,166816,932
0.167480,252,167492,931
0.168156,253,168168,932
0.168828,254,168840,932
0.169504,255,169516,932
0.170180,256,170192,932
0.170856,257,170868,932
0.171528,258,171540,932
0.172204,259,172216,932
0.172880,260,172892,931
0.173556,261,173568,932
0.174228,262,174240,932
0.174904,263,174916,932
0.175580,264,175592,932
0.176256,265,176268,932
0.176928,266,176940,931
0.177604,267,177616,932
0.178280,268,178292,932
0.178956,269,178968,932
0.179628,270,179640,932
0.180304,271,180316,931
0.180980,272,180992,932
0.181656,273,181668,932
0.182328,274,182340,932
0.183004,275,183016,931
0.183680,276,183692,932
0.184356,277,184368,931
0.185028,278,185040,931
0.185704,279,185716,932
0.186380,280,186392,932
0.187056,281,187068,931
0.187728,282,187740,932
0.188412,283,188424,931
0.189080,284,189092,932
0.189756,285,189768,931
0.190428,286,190440,931
0.191104,287,191116,932
0.191780,288,191792,931
0.192456,289,192468,932
0.193128,290,193140,932
0.193804,291,193816,931
0.194480,292,194492,931
0.195156,293,195168,932
0.195828,294,195840,931
0.196504,295,196516,932
0.197180,296,197192,931
0.197856,297,197868,931
0.198528,298,198540,931
0.199204,299,199216,931
0.199880,300,199892,932
0.200556,301,200568,931
0.201228,302,201240,932
0.201904,303,201916,931
0.202580,304,202592,931
0.203256,305,203268,931
0.203928,306,203940,931
0.204604,307,204616,932
0.205280,308,205292,932
0.205956,309,205968,931
0.206628,310,206640,931
0.207304,311,207316,932
0.207980,312,207992,931
0.208656,313,208668,932
0.209328,314,209340,931
0.210004,315,210016,932
0.210680,316,210692,932
0.211356,317,211368,931
0.212028,318,212040,932
0.212704,319,212716,932
0.213380,320,213392,932
0.214056,321,214068,932
0.214728,322,214740,931
0.215404,323,215416,931
0.216080,324,216092,932
0.216756,325,216768,932
0.217428,326,217440,932
0.218112,327,218124,931
0.218780,328,218792,932
0.219456,329,219468,931
0.220128,330,220140,931
0.220804,331,220816,932
0.221480,332,221492,932
0.222156,333,222168,932
0.222828,334,222840,932
0.223504,335,223516,931
0.224180,336,224192,932
0.224856,337,224868,932
0.225528,338,225540,932
0.226204,339,226216,932
0.226880,340,226892,931
0.227556,341,227568,931
0.228228,342,228240,931
0.228904,343,228916,932
0.229580,344,229592,932
0.230256,345,230268,931
0.230928,346,230940,931
0.231604,347,231616,931
0.232280,348,232292,932
0.232956,349,232968,932
0.233628,350,233640,931
0.234304,351,234316,932
0.234980,352,234992,931
0.235656,353,235668,932
0.236328,354,236340,931
0.237004,355,237016,931
0.237680,356,237692,931
0.238356,357,238368,932
0.239028,358,239040,931
0.239704,359,239716,932
0.240380,360,240392,932
0.241056,361,241068,932
0.241728,362,241740,931
0.242404,363,242416,931
0.243080,364,243092,932
0.243756,365,243768,932
